Date,Ship_Type,Engine_Type,Speed_Over_Ground_knots,Distance_Traveled_nm,Cargo_Weight_tons,Average_Load_Percentage,Engine_Power_kW,Draft_meters,Weather_Condition,Seasonal_Impact_Score,Route_Type,Maintenance_Status,Weekly_Voyage_Count,Efficiency_nm_per_kWh,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours
2023-01-01,Bulk Carrier,Diesel,18.3106,1521.0689,4180.802,57.0251,2114.9948,4.1858,Moderate,0.1988,Long-haul,Good,6,0.4602,5578.66,24211.33,98.3563
2023-01-02,Container Ship,Steam Turbine,21.401,806.8485,2070.0529,89.3921,2743.249,7.7536,Calm,0.9731,Short-haul,Good,4,0.35,4327.3,15874.65,43.9398
2023-01-03,Fish Carrier,Steam Turbine,11.1906,707.7147,673.6081,79.9626,1721.5301,6.5913,Calm,0.2095,Coastal,Good,3,0.8157,3224.45,10710.54,73.1171
2023-01-04,Tanker,Heavy Fuel Oil (HFO),19.7999,1729.5998,2117.1704,56.6041,3340.1472,10.1346,Calm,0.3147,Long-haul,Fair,6,0.35,6654.25,16874.28,107.7516
2023-01-05,Container Ship,Diesel,13.9981,1325.4191,7773.9905,86.568,3111.0881,5.0699,Moderate,0.16,Short-haul,Fair,6,0.8661,6810.06,36339.32,114.6236
2023-01-06,Bulk Carrier,Steam Turbine,12.7625,716.3503,2737.586,98.4538,2833.4942,7.5538,Moderate,0.1064,Short-haul,Fair,6,0.7439,4491.62,18707.59,68.12
2023-01-07,Container Ship,Steam Turbine,14.8405,334.9222,5179.0444,58.2479,2288.5994,4.5513,Rough,0.7319,Coastal,Good,7,0.6761,4081.68,24893.74,29.9236
2023-01-08,Fish Carrier,Steam Turbine,21.0048,1686.0569,1020.8098,65.5381,3218.9194,7.1604,Rough,0.2479,Transoceanic,Needs Maintenance,1,0.35,6341.91,13611.52,95.2411
2023-01-09,Bulk Carrier,Steam Turbine,8.4398,793.8998,4228.8487,84.7844,3170.6726,8.0335,Moderate,0.243,Long-haul,Good,4,0.6221,5102.9,23398.95,105.1796
2023-01-10,Bulk Carrier,Steam Turbine,18.195,1781.2443,1364.8828,55.0918,1995.3586,10.1214,Moderate,0.0754,Coastal,Good,7,0.4276,6112.19,14768.31,124.9591
2023-01-11,Bulk Carrier,Diesel,14.799,548.8693,2554.1312,59.5862,2895.3977,7.1851,Rough,0.423,Long-haul,Good,6,0.7147,4253.51,16284.5,47.2004
2023-01-12,Bulk Carrier,Steam Turbine,15.0399,1890.7118,2157.764,77.7269,2590.5952,5.6464,Calm,0.1199,Coastal,Good,5,0.8085,6280.53,17962.7,143.7563
2023-01-13,Fish Carrier,Heavy Fuel Oil (HFO),13.541,1510.5495,1688.0784,70.2057,3495.6724,10.9727,Calm,0.0733,Short-haul,Good,2,0.8281,6330.35,15593.29,127.3308
